id,initial,id,env,respdate,respage,respweight,vco2,vo2,rq,resptemp,agg,winner,color,aggdate,aggage,aggweight,female,aggtrial,aggtemp,agghumidity,numwins,numbat,totalbattle,avgbattle,firstbatlength,aggsong,firstaggsonglength,firstcalllength,called,calllatency,firstmalecall,firstmaleaggsong,firstuniquebehavior,firstwinner,totalcall,totalcallperbat,totalaggsong,tasperbat,behave,fbtotalscore,fbtotalscoreperbat,rbtotalscoreperbat,dis,disdate,disage,distime,disweight,accessory,testes,flight,hind leg #,hindlegmass,hindleglength,forewinglength,hindwing,hindwinglength,rec,recnum,recage,recweight,recdate,mic,starttime,stoptime,rectemp,rechumidity,file,chirprate,chirpduration,# pulses,pulseduration,df
35,VW,AD35,H,2017-07-22,4,0.228,2.44,4.13,0.59,24.2,y,0,White,2017-07-26,8,0.228,Y,12,23.98,55.924,0,,,,,y,1.001,3.026,y,817.468,0,0,1,0,5.031,0.170369116,1.001,0.033897731,y,20,1.159353,1.058718,y,2017-07-27,9,14:37,0.2160,0.0106,0.0256,0.0279,2,0.0287,17.56,8.62,y,14.28,y,2,9,0.228,2017-07-27,4,09:03,09:40,23.58,56.1,B,1.801266482,0.105650069,2.809027778,0.015960694,5133.183799
81,CM,AD81,L,2017-07-27,4,0.324,4.39,6.02,0.73,23.7,y,0,Black,2017-07-31,9,0.324,N,29,23.676,54.865,0,,,,,y,1.497,3.755,y,434.156,0,0,1,0,3.755,0.211168597,1.497,0.084186256,y,9,1.998224,0.828438,y,2017-08-01,9,14:58,0.3170,0.0232,0.0298,0.0505,2,0.0456,23.10,9.74,y,16.22,y,1,5,0.324,2017-07-28,2,09:43,11:05,22.796,57.863,A,0.645116353,0.07822974,2.101430429,0.020244213,4797.125172
36,VW,AD36,L,2017-07-22,4,0.267,2.51,4.27,0.59,25.6,y,0,Black,2017-07-27,9,0.267,N,19,22.814,57.308,3,,,,,y,1.923,,n,,0,0,0,0,,,1.923,0.131415294,y,1,1.109878,4.296534,y,2017-07-31,13,14:34,0.2470,0.0202,0.0256,0.0313,1,0.0167,23.08,8.82,y,13.53,y,1,6,0.267,2017-07-24,2,09:20,09:57,22.298,68.956,B,1.361063872,0.10381149,2.484563758,0.017253893,4569.628417
45,BP,AD45,H,2017-07-23,4,0.209,1.87,4.82,0.39,25.7,y,0,White,2017-07-24,5,0.209,Y,10,25.628,47.63,0,,,,,y,3.043,,n,,0,0,0,0,,,3.043,0.076384357,y,37,1.105038,1.258851,y,2017-07-25,6,14:11,0.2020,0.0131,0.0193,0.0276,2,0.0124,13.81,9.45,y,12.79,y,1,5,0.209,2017-07-24,3,08:10,09:10,22.183,69.008,A,0.614652,0.129588115,3.02020202,0.013682054,5166.718454
30,RR,AD30,L,2017-07-21,4,0.303,2.57,6.06,0.42,23.1,y,0,White,2017-07-26,9,0.303,N,13,23.727,55.049,0,,,,,y,4.427,467.305,y,236.799,0,1,1,0,545.543,37.33016286,4.427,0.302928699,y,13,3.141614,0.362491,y,2017-07-27,10,14:12,0.3070,0.0229,0.0305,0.0398,2,0.0428,26.03,9.99,y,16.40,y,1,4,0.303,2017-07-21,3,13:00,14:22,20.789,66.824,C,1.730643448,0.098507616,2.287915653,0.024782855,4721.415846
88,VW,AD88,H,2017-07-27,5,0.326,2.79,4.23,0.66,24.5,y,0,White,2017-07-30,8,0.326,N,25,22.946,54.107,0,,,,,y,7.16,4.792,y,281.253,1,0,0,0,4.792,0.149413819,7.16,0.223247693,y,15,1.591343,0.706527,y,2017-07-31,9,12:57,0.3330,0.0232,0.0313,0.0579,2,0.0471,19.46,9.90,y,17.94,y,1,6,0.326,2017-07-28,3,09:43,11:05,22.796,57.863,A,1.826568693,0.127104136,2.840511122,0.023751884,4873.93164
52,VW,AD52,H,2017-07-24,4,0.33,4.68,7.03,0.67,26.8,y,0,Black,2017-07-26,6,0.33,Y,14,24.914,50.05,3,,,,,y,13.536,3.852,y,95.067,1,1,1,1,3.852,0.069820555,17.521,0.317582019,y,22,1.313433,0.806871,y,2017-07-27,7,14:20,0.3240,0.0140,0.0408,0.0525,2,0.0495,25.19,9.69,y,16.22,y,1,5,0.33,2017-07-25,4,11:17,12:17,22.556,64.486,A,2.077872835,0.090186145,2.152008686,0.023211835,4714.786891
39,BP,AD39,L,2017-07-23,4,0.362,3.22,4.84,0.67,25,y,1,Black,2017-07-24,5,0.362,N,9,28.924,41.984,9,9,10.472,1.163556,1.962,y,2.004,1.009,y,329.88,1,1,1,1,1.009,0.096352177,26.229,2.504679144,y,3,1.529052,3.055229,y,2017-07-25,6,13:43,0.3600,0.0186,0.0406,0.0587,2,0.0573,25.86,10.48,y,15.88,y,1,5,0.362,2017-07-24,1,09:20,09:57,22.298,68.956,B,1.095654399,0.090049485,2.176470588,0.023129926,4900.943531
42,BP,AD42,H,2017-07-23,4,0.312,3.16,4.92,0.64,25.7,y,1,Black,2017-07-26,7,0.312,N,13,23.727,55.049,5,5,14.614,2.9228,4.138,y,1.753,1.005,y,1.539,1,0,0,1,64.412,4.4075544,30.009,2.053441905,y,16,3.866602,1.909126,y,2017-07-27,8,15:44,0.3470,0.0144,0.0366,0.0486,2,0.0509,24.74,10.71,y,20.32,y,1,6,0.312,2017-07-25,3,11:17,12:17,22.556,64.486,A,0.951381246,0.09898983,2.467422096,0.008220482,4769.387395
93,CM,AD93,H,2017-07-28,4,0.266,3.06,5.4,0.57,24.8,y,0,Black,2017-07-31,7,0.266,N,28,22.96,56.122,0,,,,,y,31.21,34.79,y,286.356,0,1,1,0,138.166,2.248063781,31.21,0.507809958,y,39,1.19941,0.587341,y,2017-07-31,7,14:12,0.2680,0.0333,0.0291,0.0304,2,0.0386,23.25,8.43,y,12.08,y,1,5,0.266,2017-07-29,4,09:55,10:30,23.351,55.192,A,1.822180788,0.077684614,2.336244541,0.005236521,4487.878615
60,VW,AD60,H,2017-07-25,4,0.32,3.61,5.59,0.65,24.7,y,0,White,2017-07-26,5,0.32,N,15,23.747,52.382,0,,,,,y,6.63,,n,,0,1,1,0,,,31.262,0.392837396,y,89,1.158945,2.512563,y,2017-07-27,6,15:29,0.3040,0.0177,0.0330,0.0496,2,0.0438,19.45,9.08,y,17.72,y,1,4,0.32,2017-07-25,1,17:02,17:27,23.02,63.945,H,1.573308378,0.088239684,2.610526316,0.015254667,4775.090805
51,VW,AD51,L,2017-07-24,5,0.401,3.54,6.35,0.56,26.9,y,0,White,2017-07-28,9,0.401,N,23,23.99,56.918,0,,,,,y,30.725,,n,,0,0,0,0,,,36.74,0.466172664,y,34,1.17802,1.101101,y,2017-08-04,16,15:24,0.4600,0.0306,0.0277,0.0323,2,0.0243,20.76,11.10,y,10.50,y,1,8,0.401,2017-07-27,2,12:27,13:13,22.712,58.266,E,1.543454072,0.060570409,1.961290323,0.003546946,4800.592241
73,VW,AD73,H,2017-07-26,5,0.333,3.02,3.98,0.76,24.5,y,0,White,2017-07-28,7,0.333,Y,22,24.242,53.652,0,,,,,y,38.997,,n,,0,1,0,0,,,39.948,0.646418227,y,41,0.96945,2.050546,y,2017-07-31,10,13:27,0.3380,0.0247,0.0359,0.0559,2,0.0471,24.69,10.12,y,16.82,y,1,6,0.333,2017-07-27,2,10:15,10:46,22.916,57.761,C,1.005052301,0.129742972,4.722891566,0.010156024,4867.296335
31,RR,AD31,L,2017-07-21,4,0.315,2.05,3.56,0.58,23.9,y,0,White,2017-07-24,7,0.315,Y,11,24.569,50.331,0,,,,,y,46.933,,n,,0,0,0,0,,,46.933,1.40312117,y,39,1.501444,1.5273,y,2017-07-25,8,14:39,0.3530,0.0282,0.0178,0.0602,2,0.0418,23.87,9.06,y,16.77,y,1,4,0.315,2017-07-21,4,13:00,14:22,20.789,66.824,C,0.634546447,0.073337443,2.003236246,0.019040129,4673.594257
12,BP,AD12,H,2017-07-16,4,0.313,3.3,4.74,0.7,25.1,y,1,Black,2017-07-20,8,0.313,Y,2,21.881,67.465,10,11,69.134,6.284909,5.456,y,4,0.476,y,9.426,1,1,1,1,1.769,0.025587989,50.304,0.727630399,y,4,0.733138,0.486824,y,2017-07-21,9,14:58,0.3121,0.0202,0.0292,0.0383,2,0.0444,20.42,10.66,y,16.70,y,1,7,0.313,2017-07-19,1,16:43,17:18,22.274,64.771,D,1.4429964,0.154947891,3.828125,0.017044609,4713.034628
