
TimeEdit,Lunds universitet
"BIOB11, Biologi: Försöksdesign och analys för biologer",2026-03-05 - 2026-08-30,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Delkurs,Grupp,Aktivitet,"Lokal,Platskommentar","Lärare,Externa lärare","Titel,Publik kommentar,URL" 
2026-03-23,11:00,2026-03-23,12:00,BIOB11,,,"Introduktion,Obligatoriskt",Heden (G110),Iain Moodie,"Obligatoriskt upprop, Introduction to course"
2026-03-23,13:00,2026-03-23,16:00,BIOB11,,,"Laboration,Obligatoriskt","Heden (G110),Ängen (G111)",Iain Moodie,Introduction to exploratory data analysis
2026-03-24,09:00,2026-03-24,12:00,BIOB11,,,Föreläsning,Hörsal Blå hallen,Iain Moodie,"Data, plots and descriptive statistics"
2026-03-24,13:00,2026-03-24,16:00,BIOB11,,,"Laboration,Obligatoriskt","Heden (G110),Ängen (G111)",Iain Moodie,Introduction to R
2026-03-25,09:00,2026-03-25,16:00,BIOB11,,,"Laboration,Obligatoriskt","Heden (G110),Ängen (G111)",Iain Moodie,Reproducible analyses in R
2026-03-26,09:00,2026-03-26,12:00,BIOB11,,,Föreläsning,Hörsal Röda rummet,Iain Moodie,The scientific method & experimental design
2026-03-27,09:00,2026-03-27,12:00,BIOB11,,,Föreläsning,Hörsal Blå hallen,Iain Moodie,The foundations of inference
2026-03-27,13:00,2026-03-27,16:00,BIOB11,,,"Laboration,Obligatoriskt","Heden (G110),Ängen (G111)",Iain Moodie,Statistical inference with bootstrap
2026-03-30,09:00,2026-03-30,12:00,BIOB11,,,Obligatoriskt,Hörsal Röda rummet,Kaj Hulthén,Vetenskaplig integritet och etik
2026-03-30,13:00,2026-03-30,15:30,BIOB11,,,Föreläsning,Hörsal Röda rummet,Iain Moodie,Null hypothesis testing & test statistics
2026-03-31,09:00,2026-03-31,16:00,BIOB11,,,"Laboration,Obligatoriskt","Heden (G110),Ängen (G111)",Iain Moodie,Hypothesis testing with randomisation
2026-04-01,09:00,2026-04-01,12:00,BIOB11,,,Föreläsning,Hörsal Blå hallen,Iain Moodie,Regression modelling
2026-04-01,13:00,2026-04-01,16:00,BIOB11,,,"Laboration,Obligatoriskt","Heden (G110),Ängen (G111)",Iain Moodie,Regression modelling in R
2026-04-07,09:00,2026-04-07,12:00,BIOB11,,,Föreläsning,Hörsal Blå hallen,Iain Moodie,Statistical inference with mathematical models
2026-04-07,13:00,2026-04-07,16:00,BIOB11,,,Självstudier,,,Self study (seminar preperation)
2026-04-08,09:00,2026-04-08,12:00,BIOB11,,,"Obligatoriskt,Seminarium","Krypt - Masklaven (T105a),Krypt - Renlaven (T108),Ris - Hjortronet (T104),Ris - Kråkbäret (T107),Ris - Lingonet (T105),Ris - Ripbäret (T106)",Iain Moodie,Group seminar
2026-04-08,13:00,2026-04-08,16:00,BIOB11,,,"Laboration,Obligatoriskt","Heden (G110),Ängen (G111)",Iain Moodie,Data analysis & report writing exercise
2026-04-09,09:00,2026-04-09,16:00,BIOB11,,,"Laboration,Obligatoriskt","Heden (G110),Ängen (G111)",Iain Moodie,Data analysis & report writing exercise
2026-04-10,12:00,2026-04-10,16:00,BIOB11,,,Självstudier,,,Self study
2026-04-10,09:00,2026-04-10,12:00,BIOB11,,,Laboration,"Heden (G110),Ängen (G111)",Iain Moodie,Exam practise
2026-04-13,09:00,2026-04-13,16:00,BIOB11,,,Självstudier,,,Self study
2026-04-14,09:00,2026-04-14,10:00,BIOB11,,,Frågestund,Hörsal Blå hallen,"Iain Moodie,Kaj Hulthén",Question & answer session for exam
2026-04-15,09:00,2026-04-15,16:00,BIOB11,,,Självstudier,,,Self study
2026-04-16,09:00,2026-04-16,13:00,BIOB11,,,Tentamen,"Heden (G110),Maskrosen (E121)",,Exam
2026-04-17,09:00,2026-04-17,10:00,BIOB11,,,"Föreläsning,Obligatoriskt",Ängen (G111),Iain Moodie,Introduction to project work
2026-04-17,10:00,2026-04-17,16:00,BIOB11,,,"Obligatoriskt,Projekt",Ängen (G111),Iain Moodie,Project work
2026-04-20,09:00,2026-04-20,16:00,BIOB11,,,"Obligatoriskt,Projekt",Ängen (G111),Iain Moodie,Project work
2026-04-21,09:00,2026-04-21,10:00,BIOB11,,,"Obligatoriskt,Projekt",Ängen (G111),Iain Moodie,Project work
2026-04-21,10:00,2026-04-21,12:00,BIOB11,,,"Föreläsning,Obligatoriskt",Ängen (G111),Iain Moodie,Exam feedback and review
2026-04-21,13:00,2026-04-21,16:00,BIOB11,,,"Obligatoriskt,Projekt",Ängen (G111),Iain Moodie,Project work
2026-04-22,09:00,2026-04-22,16:00,BIOB11,,,"Obligatoriskt,Projekt",Ängen (G111),Iain Moodie,Project work
2026-04-23,09:00,2026-04-23,12:00,BIOB11,,,"Obligatoriskt,Projekt",Ängen (G111),Iain Moodie,Project work
2026-04-24,09:00,2026-04-24,16:00,BIOB11,,,"Obligatoriskt,Projekt,Redovisning",Hörsal Blå hallen,Iain Moodie,Project presentations
2026-05-04,13:00,2026-05-07,17:00,BIOB11,,,Omtentamen,Maskrosen (E121),,Exam feedback and review
